Title,Link
Paper I: Ancient + Medieval Solved,/pyq/paper1-ancient-medieval.pdf
Paper II: Modern + World Solved,/pyq/paper2-modern-world.pdf
Theme Frequency Analysis 2013–2025,/pyq/frequency.xlsx
Mauryan Administration PYQ Compilation,/pyq/mauryan-pyqs.pdf
