Title,Author,Read,Skip,Partial,Note
Mastering Modern World History,Norman Lowe,"Ch 1–5, 13–16","Everything else. 80% irrelevant for UPSC","","French Rev to WW2 only"
History of Modern World,B.V. Rao,"","","Ch 2,4,6 for French/American Rev","Alternative to Lowe"
