Title,Link,Year,Tags
Congress Sessions 1885-1947 Pattern,/pyq/congress-sessions-pattern.pdf,2023 Q6(a); 2021 Q5(b); 2018 Q4(a),Repeated;Hot
Peasant Movements Framework,/pyq/peasant-movements.pdf,2022 Q7(b); 2019 Q6(a),Repeated
Gandhian Phase: Mass Movements,/pyq/gandhian-phase.pdf,2021 Q6(a); 2017 Q5(b),Hot
Constitutional Development 1773-1947,/pyq/constitutional-dev.pdf,2020 Q5(a),PYQ
